token_ID_within_document,word,lemma,before,after,word_lc
820,faces,face,#,#,faces
821,.,.,#, ,.
822,Father,Father,#, ,father
823,agreed,agree,#, ,agreed
824,to,to,#, ,to
825,finance,finance,#, ,finance
826,me,I,#, ,me
827,for,for,#, ,for
828,a,a,#, ,a
829,year,year,#,#,year
830,",",",",#, ,","
831,and,and,#, ,and
832,after,after,#, ,after
833,various,various,#, ,various
834,delays,delay,#, ,delays
835,I,I,#, ,i
836,came,come,#, ,came
837,East,East,#,#,east
838,",",",",#, ,","
839,permanently,permanently,#,#,permanently
840,",",",",#, ,","
841,I,I,#, ,i
842,thought,think,#,#,thought
843,",",",",#, ,","
844,in,in,#, ,in
845,the,the,#, ,the
846,spring,spring,#, ,spring
847,of,of,#, ,of
848,twenty,twenty,#,#,twenty
849,-,-,#,#,-
850,two,two,#,#,two
851,.,.,#, ,.
852,The,the,#, ,the
853,practical,practical,#, ,practical
854,thing,thing,#, ,thing
855,was,be,#, ,was
856,to,to,#, ,to
857,find,find,#, ,find
858,rooms,room,#, ,rooms
859,in,in,#, ,in
860,the,the,#, ,the
861,city,city,#,#,city
862,",",",",#, ,","
863,but,but,#, ,but
864,it,it,#, ,it
865,was,be,#, ,was
866,a,a,#, ,a
867,warm,warm,#, ,warm
868,season,season,#,#,season
869,",",",",#, ,","
870,and,and,#, ,and
871,I,I,#, ,i
872,had,have,#, ,had
873,just,just,#, ,just
874,left,leave,#, ,left
875,a,a,#, ,a
876,country,country,#, ,country
877,of,of,#, ,of
878,wide,wide,#, ,wide
879,lawns,lawn,#, ,lawns
880,and,and,#, ,and
881,friendly,friendly,#, ,friendly
882,trees,tree,#,#,trees
883,",",",",#, ,","
884,so,so,#, ,so
885,when,when,#, ,when
886,a,a,#, ,a
887,young,young,#, ,young
888,man,man,#, ,man
889,at,at,#, ,at
890,the,the,#, ,the
891,office,office,#, ,office
892,suggested,suggest,#, ,suggested
893,that,that,#, ,that
894,we,we,#, ,we
895,take,take,#, ,take
896,a,a,#, ,a
897,house,house,#, ,house
898,together,together,#, ,together
899,in,in,#, ,in
900,a,a,#, ,a
901,commuting,commuting,#, ,commuting
902,town,town,#,#,town
903,",",",",#, ,","
904,it,it,#, ,it
905,sounded,sound,#, ,sounded
906,like,like,#, ,like
907,a,a,#, ,a
908,great,great,#, ,great
909,idea,idea,#,#,idea
910,.,.,#, ,.
911,He,he,#, ,he
912,found,find,#, ,found
913,the,the,#, ,the
914,house,house,#,#,house
915,",",",",#, ,","
916,a,a,#, ,a
917,weather,weather,#,#,weather
918,-,-,#,#,-
919,beaten,beat,#, ,beaten
920,cardboard,cardboard,#, ,cardboard
921,bungalow,bungalow,#, ,bungalow
922,at,at,#, ,at
923,eighty,eighty,#, ,eighty
924,a,a,#, ,a
925,month,month,#,#,month
926,",",",",#, ,","
927,but,but,#, ,but
928,at,at,#, ,at
929,the,the,#, ,the
930,last,last,#, ,last
931,minute,minute,#, ,minute
932,the,the,#, ,the
933,firm,firm,#, ,firm
934,ordered,order,#, ,ordered
935,him,he,#, ,him
936,to,to,#, ,to
937,Washington,Washington,#,#,washington
938,",",",",#, ,","
939,and,and,#, ,and
940,I,I,#, ,i
941,went,go,#, ,went
942,out,out,#, ,out
943,to,to,#, ,to
944,the,the,#, ,the
945,country,country,#, ,country
946,alone,alone,#,#,alone
947,.,.,#, ,.
948,I,I,#, ,i
949,had,have,#, ,had
950,a,a,#, ,a
951,dog,dog,#,#,dog
952,-,-,#,#,-
953,at,at,#, ,at
954,least,least,#, ,least
955,I,I,#, ,i
956,had,have,#, ,had
957,him,he,#, ,him
958,for,for,#, ,for
959,a,a,#, ,a
960,few,few,#, ,few
961,days,day,#, ,days
962,until,until,#, ,until
963,he,he,#, ,he
964,ran,run,#, ,ran
965,away,away,#,#,away
966,-,-,#,#,-
967,and,and,#, ,and
968,an,an,#, ,an
969,old,old,#, ,old
970,Dodge,Dodge,#, ,dodge
971,and,and,#, ,and
972,a,a,#, ,a
973,Finnish,finnish,#, ,finnish
974,woman,woman,#,#,woman
975,",",",",#, ,","
976,who,who,#, ,who
977,made,make,#, ,made
978,my,my,#, ,my
979,bed,bed,#, ,bed
980,and,and,#, ,and
981,cooked,cook,#, ,cooked
982,breakfast,breakfast,#, ,breakfast
983,and,and,#, ,and
984,muttered,mutter,#, ,muttered
985,Finnish,finnish,#, ,finnish
986,wisdom,wisdom,#, ,wisdom
987,to,to,#, ,to
988,herself,herself,#, ,herself
989,over,over,#, ,over
990,the,the,#, ,the
991,electric,electric,#, ,electric
992,stove,stove,#,#,stove
993,.,.,#, ,.
994,It,it,#, ,it
995,was,be,#, ,was
996,lonely,lonely,#, ,lonely
997,for,for,#, ,for
998,a,a,#, ,a
999,day,day,#, ,day
1000,or,or,#, ,or
1001,so,so,#, ,so
1002,until,until,#, ,until
1003,one,one,#, ,one
1004,morning,morning,#, ,morning
1005,some,some,#, ,some
1006,man,man,#,#,man
1007,",",",",#, ,","
1008,more,more,#, ,more
1009,recently,recently,#, ,recently
1010,arrived,arrive,#, ,arrived
1011,than,than,#, ,than
1012,I,I,#,#,i
1013,",",",",#, ,","
1014,stopped,stop,#, ,stopped
1015,me,I,#, ,me
1016,on,on,#, ,on
1017,the,the,#, ,the
1018,road,road,#,#,road
1019,.,.,#, ,.
1020,"""",4922,#,#,""""
1021,How,how,#, ,how
1022,do,do,#, ,do
1023,you,you,#, ,you
1024,get,get,#, ,get
1025,to,to,#, ,to
1026,West,West,#, ,west
1027,Egg,Egg,#, ,egg
